company,ticker,title,body,date,replies
Goldman Sachs,GS,IT layoffs,there were layoffs in IT recently,2019-01-23,0
Goldman Sachs,GS,Prop trading in sell side is not coming back!,https://www.sec.gov/comments/s7-14-18/s71418-4530302-176067.pdf,2018-11-10,2
Goldman Sachs,GS,"Goldman Sachs layoffs January 29, 2018","OK, nobody is reporting but here it goes - the are layoffs happening at GS right now. Have a great day.",2018-01-29,1
Goldman Sachs,GS,Jan 2017 Layoffs at Goldman,"20 Goldman folks got WARN notices today... Sources are listed below: https://labor.ny.gov/app/warn/details.asp?id=5714 http://www.reuters.com/article/goldman-sachs-layoffs-idUSL4N1CU55R Many banks are going through similar situations right now...
read more",2016-10-25,0
Goldman Sachs,GS,Goldman Job Cuts - July 2016,"Starts in July, ends in October, and a new batch in January. 98 listed on WARN notices, things will continue to look ugly.",2016-06-25,1
Goldman Sachs,GS,GS Fixed-Income Trading Desk Layoffs - March 2016,"I am not with GS but there were multiple reports that about 50 people were let go in the Fixed Income trading group - granted, this is not even one percent of the overall headcount for GS, still - the FI group is not that big so this may be a big hit...
read more",2016-03-07,0
Goldman Sachs,GS,Should we expect job cuts in 2016?,"Now, cuts in compensation and benefits by 16% and 18% drop in non-interest-bearing revenue. Hmmmm...",2015-12-02,1
Goldman Sachs,GS,Can Anyone Tell Me Why GS is Holding Onto EDMC?,"Can anyone tell me why Goldman Sachs is holding onto EDMC, a company that's not only predatory, but is losing money?",2014-06-05,2
Goldman Sachs,GS,Not really,"3,260 jobs were cut in 2008 and 2009 - 10% of our total workforce - so, never happened statement is not accurate - GS is just a company, and companies do this. things are much better now. the company is well managed and with bright prospects.",2013-12-12,0
Goldman Sachs,GS,never happened...,never happened...,2013-10-15,2
Goodrich Corp.,GR,"It's all good now, including aerospace...","It's all good now, including aerospace...",2011-10-11,0
Goodrich Corp.,GR,a new round is coming...,a new round is coming...,2011-08-29,0
Goodrich Corp.,GR,layoffs at goodrich aerospace are looming,layoffs at goodrich aerospace are looming. 50 to 100 folks will be let go. this is a rumor so take it as a such.,2009-08-02,0
Goodrich Petroleum Corp.,GDP,Any updates about GP job cuts in 2016?,Anybody?,2016-03-07,1
Goodrich Petroleum Corp.,GDP,Additional round this week.,no body text,2016-03-04,0
Goodrich Petroleum Corp.,GDP,Goodrich Petroleum Layoffs 2015,"I think we will go belly up this year or in 2016. I am not talking about layoffs, I am talking about closing the company. Just my gut feeling.",2015-03-23,3
Goodrich Petroleum Corp.,GDP,The sector is doing really bad - 2015 will be year of layoffs,Tuscaloosa Marine Shale is not attractive any more and things will unwind now. Good luck to all of you,2015-01-11,1
Goodyear,GT,Goodyear Danville layoffs,Not sure why no posts on Danville but we should share that as well. People need to know more about it.,2019-02-27,3
Goodyear,GT,The DEVIL we all know,"I’m a Goodyear employee at the Gadsden plant in Alabama and most of us heard about the layoff just like everyone else did today. I personally got news of it first when I went into a store this morning and saw it on the front page of the newspaper and...
read more",2019-02-14,4
Goodyear,GT,Layoffs planned at the Goodyear Gadsden plant,"We just heard that layoffs can be expected at Gadsden plant later in the year. No details yet - just a general announcement that layoffs are coming. Which means that we are left to stress and worry for who knows how long about who and when aspects of...
read more",2019-02-13,2
Goodyear,GT,Window Dressing @ Goodyear,"Management is more interested in window dressing by hiring Business Development suits who are absolutely useless in generating business. To balance the books they will now fire hard working workers who really need the jobs and work at it unlike the...
read more",2019-01-23,3
Goodyear,GT,Layoffs Coming Soon,"I work at the Danville plant and it's not looking good. Corporate has tan this plant in the ground. They've raped and pillaged for so many years without reinvestments. Some of the parts needed to fix equipment has to be ordered on eBay, really! It...
read more",2018-11-15,2
Goodyear,GT,Goodyear Tire Layoffs 2019,How likely is that there will be Goodyear Tire Layoffs in 2019?,2018-10-30,2
Goodyear,GT,Clueless,"I work for this implant and they have their heads so far up their asses they don’t know what to do when faced with adversity. Now they are talking about lay-off but nobody in the office seems to do anything to prevent that. They won’t even look at...
read more",2018-09-29,2
Goodyear,GT,"""Innovation"" at Goodyear","The news piece says it all : https://www.foxbusiness.com/markets/treading-dangerously-lax-safety-inside-goodyear-tire-plants Current market cap at about 50% of what it was in Q3 2017. Strikes at factories in Mexico. In Europe, France, UK factories...
read more",2018-08-29,1
Goodyear,GT,Akron Layoffs...,"Hearing rumors that layoffs are coming to Akron. Company has lost almost 50% in value in the last 9 months. Price of raw materials, falling stock price, worker's safety related lawsuits, closures in Europe - everything is weighing us down.",2018-07-23,1
Goodyear,GT,"Faulty Goodyear Tires responsible for Scores of Deaths and Injuries, Regulators Say","This is what we have become. First safety issues onsite resulting in workers' death. Now this. What is our so called product dev, innovation dept and design engineers doing?!! This will cause the stock to drop and people who will lose jobs are the...
read more",2018-04-08,0
Goodyear,GT,Make sure you don't get hurt,"I’ve been with Goodyear for a number of years. Never had a problem until recently when I had an injury. Reported it to my supervisor who gave me the impression he didn’t believe me. He just wanted me to ‘s--- it up’ by taking some OTC medicine to...
read more",2018-01-29,3
Goodyear,GT,Layoffs in Akron ?,"Any updates folks? I am in EMEA and get this obnoxious ""Business Development Managers"" visit us from time to time, talk to us in a condescending manner, eat and drink wine at company money, blow some hot air, treat us like we are really stupid and...
read more",2018-01-23,5
Goodyear,GT,No work/life balance,"I used to love working here, but lately it has turned into a never ending work-sleep-work-sleep pattern that I can’t seem to escape. Being in (lower) management it’s become difficult to maintain any kind of balance outside of work. Very long hours...
read more",2017-12-15,3
Goodyear,GT,Safety is an issue!,"Goodyear really needs to update its equipment and improve on our safety training! Some positions are physically challenging and labor intensive, and working with obsolete equipment that is outdated can increase the chances of an accident. Not to...
read more",2017-12-13,1
Goodyear,GT,Goodyear quietly laid off 50+ director level positions after weak Q3,no body text,2017-11-07,1
